회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),총자본정상영업이익률(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 총자본비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS)
(주)다날,64260,2014/12,-10.06,-2.01,2.72,4.81,-6.17,-2.9,0.5,0.91,7.06,1130.35
(주)다산네트웍스,39560,2011/12,-32.62,-16.58,0.65,0.54,36.56,11.09,0.57,0.93,11.07,118.95
(주)다산네트웍스,39560,2012/12,-6.09,-17.82,-10.32,3.76,55.15,12.09,0.65,0.89,6.17,55.43
(주)다산네트웍스,39560,2013/12,6.61,17.56,2.54,3.22,-2.87,-0.91,0.71,0.97,14.31,156.38
(주)다산네트웍스,39560,2014/12,18.38,14.31,0.22,1.12,-14.72,-5.88,0.72,1.13,12.68,142.03
(주)다우데이타,32190,2011/12,-2.03,-30.1,1.48,1.41,-0.48,-0.26,0.43,1.12,5.1,3099.31
(주)다우데이타,32190,2012/12,-38.17,4.77,3.44,0.72,1.93,1.08,0.32,0.71,4.94,3942.49
(주)다우데이타,32190,2013/12,27.85,1.9,5.5,1.64,0.48,0.26,0.39,0.87,4.7,101.84
(주)다우데이타,32190,2014/12,38.63,2.39,6.8,3.92,0.45,0.24,0.53,1.15,10.93,159.37
(주)다원시스,68240,2011/12,30.16,79.69,9.24,8.18,6.34,3.37,0.61,1.1,17.43,116.85
(주)다원시스,68240,2012/12,20.39,1.22,11.5,8.61,16.35,7.9,0.57,1.16,20.64,136.84
(주)다원시스,68240,2013/12,7.82,4.95,10.97,8.4,10.89,4.39,0.6,1.07,17.68,126.44
(주)다원시스,68240,2014/12,1.24,36.68,11.15,6.52,20.56,9.76,0.5,0.9,13.67,44.82
(주)대동스틸,48470,2011/12,32.63,2.48,2.01,4.63,-14.12,-6.35,1.47,2.61,8.79,78.51
(주)대동스틸,48470,2012/12,21.34,-10.1,-0.21,-1.78,9.61,4.02,1.85,3.28,4.08,35.48
(주)대동스틸,48470,2013/12,-30.74,-19.28,0.44,2.55,66.89,16.27,1.5,2.27,7.51,53.62
(주)대동스틸,48470,2014/12,-16.06,14.58,0.39,1.03,15.84,5.71,1.31,1.89,4.02,28.79
(주)대륙제관,4780,2011/12,15.86,9.84,2.44,6.58,2.7,1.39,1.58,3.26,22.2,72.46
(주)대륙제관,4780,2012/12,6.26,5.54,2.09,5.6,11.58,5.93,1.57,3.21,23.5,82.87
(주)대륙제관,4780,2013/12,7.02,4.65,1.01,7.16,17.62,9.25,1.59,3.31,25.34,88.68
(주)대륙제관,4780,2014/12,2.09,1.48,4.05,7.54,18.24,8.69,1.58,3.16,26.4,91.44
(주)대림제지,17650,2011/12,11.7,2.64,4.12,3.57,-0.61,-0.21,0.76,1.17,10.42,39.95
(주)대림제지,17650,2012/12,-2.14,-4.02,16.41,13.21,65.66,12.85,0.75,1.03,22.42,89.75
(주)대림제지,17650,2013/12,-20.18,3.69,11.61,3.07,77.2,12.37,0.6,0.73,14.19,66.37
(주)대림제지,17650,2014/12,-6.47,4.97,11.26,3.75,25.57,3.69,0.54,0.63,13.67,73.73
(주)대명소노시즌,7720,2011/12,39.63,6.53,-114.05,-13.99,-23.2,-1.83,0.09,0.09,-10.0,-114.04
(주)대명소노시즌,7720,2012/12,44.29,-20.51,-91.7,-5.02,-168.21,-2.09,0.14,0.14,-5.81,-53.59
(주)대명소노시즌,7720,2013/12,27.67,4.13,12.46,-1.61,23.06,0.61,0.19,0.2,4.85,139.81
(주)대명소노시즌,7720,2014/12,57.52,6.56,22.91,1.22,156.92,3.62,0.29,0.29,6.13,194.73
(주)대성미생물연구소,36480,2011/12,-2.24,5.72,-1.79,-1.97,19.35,4.92,0.66,0.85,20.36,38.74
(주)대성미생물연구소,36480,2012/12,-4.76,-4.1,2.73,1.04,35.95,8.12,0.63,0.83,25.64,50.32
(주)대성미생물연구소,36480,2013/12,32.46,13.54,2.0,4.73,22.88,7.29,0.79,1.1,28.83,67.2
(주)대성미생물연구소,36480,2014/12,16.94,-3.99,8.07,8.38,43.02,10.3,0.89,1.24,35.96,70.38
(주)대성파인텍,104040,2011/12,35.76,17.1,11.94,12.24,24.08,10.79,0.85,1.5,25.36,79.48
(주)대성파인텍,104040,2012/12,8.07,-4.15,10.53,11.22,34.72,11.2,0.87,1.42,26.14,84.82
(주)대성파인텍,104040,2013/12,-0.12,5.63,9.34,12.05,31.13,9.12,0.86,1.25,26.84,103.11
(주)대성파인텍,104040,2014/12,12.34,26.38,9.0,9.05,18.98,7.11,0.83,1.26,21.69,56.14
(주)대창솔루션,96350,2011/12,10.47,0.8,2.6,2.82,13.26,5.36,0.56,0.94,11.08,16.67
(주)대창솔루션,96350,2012/12,-12.63,-3.94,-3.34,0.79,17.27,6.91,0.5,0.84,7.78,11.43
(주)대창솔루션,96350,2013/12,-29.75,3.18,0.97,-3.11,1.49,0.62,0.35,0.6,9.38,16.19
(주)대창솔루션,96350,2014/12,29.76,-9.72,-22.6,-1.38,-5.35,-2.6,0.47,0.86,-0.73,-1.16
(주)대한과학,131220,2011/12,23.61,14.76,5.95,9.62,1.47,0.66,1.19,2.45,27.15,61.72
(주)대한과학,131220,2012/12,14.89,5.28,3.79,6.99,-2.9,-1.31,1.25,2.27,26.59,63.53
(주)대한과학,131220,2013/12,-2.23,13.15,1.91,3.59,-2.07,-1.02,1.12,2.12,23.58,65.45
(주)대한과학,131220,2014/12,-5.51,7.86,2.3,2.55,2.39,1.09,0.96,1.82,21.78,67.01
(주)대호특수강,21040,2011/12,24.65,-0.55,-0.76,2.54,-4.57,-3.71,1.8,9.28,13.11,106.11
(주)대호특수강,21040,2012/12,3.06,92.58,-5.11,-1.42,0.67,0.54,1.27,6.53,1.63,7.17
(주)대호특수강,21040,2013/12,42.5,-8.19,-2.68,2.99,0.62,0.52,1.43,7.7,11.68,49.28
(주)대호특수강,21040,2014/12,-29.29,-19.38,-0.72,5.56,14.04,11.2,1.17,6.29,18.88,74.48
(주)동국알앤에스,75970,2011/12,-12.75,-1.42,2.06,5.01,9.14,5.26,0.87,2.09,9.57,23.25
(주)동국알앤에스,75970,2012/12,-17.55,-16.41,0.21,4.84,21.99,11.04,0.79,1.72,10.14,25.43
(주)동국알앤에스,75970,2013/12,-11.06,-6.91,0.34,2.8,24.23,11.47,0.8,1.56,7.36,17.27
(주)동국알앤에스,75970,2014/12,-5.96,-2.58,1.33,2.0,14.47,6.68,0.79,1.48,9.16,21.33
(주)동국에스엔씨,100130,2011/12,10.77,6.0,-13.07,-7.88,-7.88,-2.06,0.4,0.51,-5.43,-27.47
(주)동국에스엔씨,100130,2012/12,19.77,-5.92,5.27,0.76,5.57,1.05,0.48,0.62,4.69,19.95
(주)동국에스엔씨,100130,2013/12,1.01,6.91,3.4,3.0,5.32,1.27,0.48,0.61,4.01,15.84
(주)동국에스엔씨,100130,2014/12,44.66,1.8,5.21,4.08,14.26,3.29,0.67,0.87,7.12,28.27
(주)동방선기,99410,2011/12,0.08,-0.8,2.09,2.29,7.59,4.33,0.42,0.99,8.85,27.07
(주)동방선기,99410,2012/12,-21.28,0.19,-7.05,-5.08,5.65,3.19,0.33,0.77,1.19,3.68
(주)동방선기,99410,2013/12,-22.28,10.15,4.11,2.1,2.44,1.2,0.25,0.52,9.41,32.36
(주)동방선기,99410,2014/12,16.15,-26.04,-50.46,1.5,5.7,2.87,0.31,0.62,-13.98,-48.29
(주)동성하이켐,13450,2011/12,20.83,16.1,4.66,14.42,27.22,11.27,2.44,4.12,29.5,101.64
(주)동성하이켐,13450,2012/12,2.01,32.48,5.19,12.74,11.59,5.29,2.0,3.55,24.8,113.35
(주)동성하이켐,13450,2013/12,2.6,9.2,4.99,11.93,9.64,4.23,1.72,3.11,24.98,97.9
(주)동성하이켐,13450,2014/12,15.48,3.86,2.4,11.3,21.66,7.6,1.86,3.08,21.38,87.32
(주)동성화인텍,33500,2011/12,-2.07,-11.24,-5.25,1.94,-5.64,-3.88,0.8,2.54,10.39,17.06
(주)동성화인텍,33500,2012/12,34.77,41.93,4.24,6.14,-6.88,-5.16,0.95,3.44,18.55,44.69
(주)동성화인텍,33500,2013/12,71.04,0.59,2.39,6.9,1.33,0.95,1.38,5.16,17.55,41.99
(주)동성화인텍,33500,2014/12,2.77,-5.95,5.59,8.8,22.97,14.54,1.45,4.49,21.59,48.72
(주)동아엘텍,88130,2011/12,-13.18,-4.49,12.4,8.07,38.24,3.93,0.61,0.72,13.81,109.26
(주)동아엘텍,88130,2012/12,-13.52,27.13,2.36,1.07,11.17,2.99,0.48,0.6,9.19,94.36
(주)동아엘텍,88130,2013/12,97.55,48.76,11.63,9.72,17.9,6.89,0.68,1.03,15.39,168.69
(주)동아엘텍,88130,2014/12,38.44,1.02,9.13,9.59,19.18,6.35,0.78,1.22,16.92,118.94
(주)동양에스텍,60380,2011/12,15.12,9.6,0.31,2.64,-9.67,-5.82,1.55,3.55,5.81,48.98
(주)동양에스텍,60380,2012/12,-4.38,-7.6,-2.02,-1.26,-0.37,-0.23,1.48,3.78,1.62,13.25
(주)동양에스텍,60380,2013/12,8.69,-11.1,0.93,3.18,21.95,12.51,1.77,4.37,7.66,57.61
(주)동양에스텍,60380,2014/12,-23.53,-12.94,-2.55,1.0,24.51,12.9,1.54,3.41,1.69,11.03
