,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]유동비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]순이익증가율(IFRS연결),상장폐지사유,회계월,상장년도,회계년,연차
86,(주)맘스터치앤컴퍼니,220630,2019-12-01,2015-08-28,2022-05-31,4,  도매 및 상품 중개업,1.53,18.15,4.47,152.75,57.89,2.16,3.76,31.63,103.67,-17.8,,12,2015,2019,4
87,(주)맘스터치앤컴퍼니,220630,2020-12-01,2015-08-28,2022-05-31,4,  도매 및 상품 중개업,-0.97,29.6,8.18,177.1,66.91,2.23,3.59,40.77,123.71,70.53,,12,2015,2020,5
88,(주)맥스로텍,141070,2013-12-01,2012-11-16,2021-09-16,4,  기타 기계 및 장비 제조업,,,,,,,,,,,,12,2012,2013,1
89,(주)맥스로텍,141070,2014-12-01,2012-11-16,2021-09-16,4,  기타 기계 및 장비 제조업,,,,,,,,,,,,12,2012,2014,2
90,(주)맥스로텍,141070,2015-12-01,2012-11-16,2021-09-16,4,  기타 기계 및 장비 제조업,,,,,,,,,,,,12,2012,2015,3
91,(주)맥스로텍,141070,2016-12-01,2012-11-16,2021-09-16,4,  기타 기계 및 장비 제조업,,,,,,,,,,,,12,2012,2016,4
92,(주)맥스로텍,141070,2017-12-01,2012-11-16,2021-09-16,4,  기타 기계 및 장비 제조업,,,,,,,,,,,,12,2012,2017,5
93,(주)맥스로텍,141070,2018-12-01,2012-11-16,2021-09-16,4,  기타 기계 및 장비 제조업,,,,,,,,,,,,12,2012,2018,6
94,(주)맥스로텍,141070,2019-12-01,2012-11-16,2021-09-16,4,  기타 기계 및 장비 제조업,,,,,,,,,,,,12,2012,2019,7
95,(주)맥스로텍,141070,2020-12-01,2012-11-16,2021-09-16,4,  기타 기계 및 장비 제조업,,,,,,,,,,,,12,2012,2020,8
96,(주)모다,149940,2013-12-01,2012-09-25,2020-07-10,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,12,2012,2013,1
97,(주)모다,149940,2014-12-01,2012-09-25,2020-07-10,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,12,2012,2014,2
98,(주)모다,149940,2015-12-01,2012-09-25,2020-07-10,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,12,2012,2015,3
99,(주)모다,149940,2016-12-01,2012-09-25,2020-07-10,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.0,-1.23,2.88,72.28,30.84,0.42,1.36,11.41,206.32,0.0,,12,2012,2016,4
100,(주)모다,149940,2017-12-01,2012-09-25,2020-07-10,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26.16,-209.67,-36.6,73.21,27.37,0.39,1.36,3.28,96.79,0.0,,12,2012,2017,5
101,(주)모다,149940,2018-12-01,2012-09-25,2020-07-10,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-7.46,-105.84,-5.31,61.35,26.49,0.36,1.32,22.9,442.17,0.0,,12,2012,2018,6
102,(주)모다,149940,2019-12-01,2012-09-25,2020-07-10,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-34.89,-159.31,-28.28,70.07,18.7,0.38,1.61,10.51,163.58,0.0,,12,2012,2019,7
103,(주)모린스,110310,2011-12-01,2009-09-25,2014-04-11,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,12,2009,2011,2
104,(주)모린스,110310,2012-12-01,2009-09-25,2014-04-11,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,12,2009,2012,3
105,(주)모린스,110310,2013-12-01,2009-09-25,2014-04-11,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.0,0.0,-74.76,6.25,0.0,0.59,0.0,-43.92,-48.14,0.0,,12,2009,2013,4
106,(주)미래SCI,28040,2011-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,0.0,-26.11,-20.5,42.58,39.0,0.5,1.27,6.78,10.86,0.0,,12,1996,2011,15
107,(주)미래SCI,28040,2012-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,0.0,-226.43,-75.15,22.92,15.23,0.46,3.01,-14.85,-18.13,0.0,,12,1996,2012,16
108,(주)미래SCI,28040,2013-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,-46.48,-50.1,-48.58,25.64,32.73,0.25,1.03,2.27,2.77,0.0,,12,1996,2013,17
109,(주)미래SCI,28040,2014-12-01,1996-07-27,2021-04-13,4,  도매 및 상품 중개업,-31.7,-83.46,-141.56,22.68,28.38,0.18,0.59,-14.12,-17.48,0.0,,12,1996,2014,18
