회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결)(원),[제조]총자본순이익률(IFRS연결)(원),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결)(백만원),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)아이디스홀딩스,054800,2013/12,2001/09/27,,5,    회사 본부 및 경영 컨설팅 서비스업,127.42,2384.42,35.66,724.76,4479.68,2.47,978.31,-32.76,32.39,10.16,5.03,12.12,8.25,28994.58,1019,786.29,576.52,157.22,42.15,18.25,35.29,61.15,48.29,84.57,3676.22,0.81,0.97,1.3,8.88,11.34,41.27,8.85,41.09,32.2,0.02,0,1.9,9.81,2.16,2.85,85835.08,16.72,151.62,14355.78,28.61,39.82,60.18,35.51
(주)아이센스,099190,2013/12,2013/01/30,,5,    의료용 기기 제조업,53.63,44.72,44.59,67.38,58.6,50.69,24.51,113.18,42.52,22.5,21.73,16.27,15.97,9263.18,2086,451.8,291.31,66.14,33.65,35.56,73.15,76.97,43.22,73.77,2278.28,0.71,0.96,1.22,4.68,4.37,24.55,14.87,77.97,83.43,0.01,0,1.34,1.3,1.7,2.66,49184.67,34.78,66.51,344.2,59.36,41.95,58.05,37.9
(주)아이씨디,040910,2011/09,2011/08/05,,5,    특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아이씨디,040910,2012/09,2011/08/05,,5,    특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아이씨디,040910,2013/09,2011/08/05,,5,    특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아이앤씨테크놀로지,052860,2011/12,2009/10/06,,5,    반도체 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아이앤씨테크놀로지,052860,2012/12,2009/10/06,,5,    반도체 제조업,0,0,0,0,0,0,0,0,27.14,-53.66,-10.65,-1.17,-10.48,1208.59,-629,1157.35,1054.68,31.15,48.63,6.11,999999999,49.63,53.23,94.24,1132.4,0.2,0.21,0.42,4.14,34.05,55.59,6.57,88.22,10.72,0.01,0,0.34,0.98,0.37,0.4,-5547.18,-6.51,-52.8,-825.17,-33.3,0,0,0
(주)아이앤씨테크놀로지,052860,2013/12,2009/10/06,,5,    반도체 제조업,-0.08,4.32,29.84,-26.37,-4.88,-9.62,-56.44,0,5.4,-170,-15.91,-9.51,-14.47,526.21,-893,735.72,651.4,8.05,33.89,19.88,-47.48,72.86,39.22,83.41,1021.8,0.09,0.1,0.16,1.85,12.95,9.84,37.11,197.57,28.18,0.01,0.2,0.17,0.42,0.18,0.2,-4940.13,-5.8,-27.92,-601.16,-68.07,0,0,0
(주)아이에스시,095340,2011/12,2007/10/01,,5,    전자부품 제조업,34.36,12.46,79.84,-8.85,-3.3,17.87,52.97,169.33,58.31,28.32,19.97,18.72,16.98,5701.05,1714,198.24,187.57,88.97,17.24,24.62,74.36,81.26,34.79,80.25,1749.43,0.6,0.7,1.03,27.48,7.14,112.14,3.25,13.28,51.12,0.02,0,1.09,2.44,1.43,1.51,27617.55,32.95,149.89,1598.21,62.99,30.43,69.57,44.95
(주)아이에스시,095340,2012/12,2007/10/01,,5,    전자부품 제조업,6.28,8.69,5.23,8.25,32.94,11.3,21.02,-16.88,55.99,19.45,14.52,22.01,11.93,6899.19,1425,260.14,242.95,123.43,21.82,19,79.4,76.83,35.44,84.04,1947.15,0.61,0.75,0.95,29.04,7.91,118.65,3.08,12.57,46.14,0.02,0,1.21,2.67,1.75,1.86,25656.57,28.8,124,933.43,48.36,36.25,63.75,40.22
