,회사명,거래소코드,회계년도,총자본순이익률,매출액증가율,자기자본순이익률,매출액순이익률,유동비율,자기자본구성비율,총자본회전률,자기자본회전률,총자본투자효율,설비투자효율,순이익증가율,label
119,(주)구영테크,53270,2020-12-01,0.35,-14.81,1.03,0.37,72.48,32.82,0.94,2.79,18.95,32.62,-78.31,0.0
120,(주)국보디자인,66620,2011-12-01,7.63,11.37,13.29,4.63,191.36,60.03,1.65,2.87,46.92,2571.93,9.87,0.0
121,(주)국보디자인,66620,2012-12-01,9.57,-8.64,15.67,6.94,216.7,61.98,1.38,2.26,37.13,1542.73,36.75,0.0
122,(주)국보디자인,66620,2013-12-01,9.91,36.95,17.76,6.69,172.74,51.29,1.48,2.66,34.61,2018.69,32.05,0.0
123,(주)국보디자인,66620,2014-12-01,8.42,7.86,15.64,6.2,197.66,56.32,1.36,2.52,36.51,2193.81,0.06,0.0
124,(주)국보디자인,66620,2015-12-01,7.89,9.2,13.66,5.59,196.06,59.05,1.41,2.44,37.6,832.83,-1.59,0.0
125,(주)국보디자인,66620,2016-12-01,7.17,4.57,12.62,5.33,192.59,54.86,1.34,2.37,34.7,738.22,-0.28,0.0
126,(주)국보디자인,66620,2017-12-01,8.26,34.38,14.33,4.93,220.15,60.4,1.68,2.91,46.62,1017.16,24.24,0.0
127,(주)국보디자인,66620,2018-12-01,8.17,-6.06,13.35,5.46,229.49,62.04,1.5,2.45,39.72,974.71,3.99,0.0
128,(주)국보디자인,66620,2019-12-01,8.02,5.8,13.75,5.93,206.55,55.44,1.35,2.32,35.7,945.33,14.92,0.0
129,(주)국보디자인,66620,2020-12-01,8.17,7.11,13.89,6.98,110.11,61.67,1.17,1.99,31.62,1021.45,26.07,0.0
130,(주)국순당,43650,2011-12-01,2.64,9.2,2.99,4.12,500.27,89.44,0.64,0.72,16.71,40.35,-66.04,0.0
131,(주)국순당,43650,2012-12-01,2.95,-7.04,3.46,5.21,631.95,91.37,0.57,0.62,14.82,38.39,24.69,0.0
132,(주)국순당,43650,2013-12-01,2.68,-16.45,2.89,5.79,733.62,89.2,0.46,0.51,15.06,41.24,-15.99,0.0
133,(주)국순당,43650,2014-12-01,1.59,-7.37,1.73,3.77,698.29,90.5,0.42,0.47,13.66,41.26,-39.31,0.0
134,(주)국순당,43650,2015-12-01,-1.63,-15.7,-1.93,-4.56,905.17,91.5,0.36,0.39,8.43,26.4,0.0,0.0
135,(주)국순당,43650,2016-12-01,-1.29,-10.0,-1.39,-3.96,790.47,91.09,0.32,0.36,8.63,28.34,0.0,0.0
136,(주)국순당,43650,2017-12-01,4.26,-9.96,4.88,15.44,708.73,91.47,0.28,0.3,12.82,53.49,0.0,0.0
137,(주)국순당,43650,2018-12-01,-1.24,-2.02,-1.26,-4.84,618.73,90.39,0.26,0.28,8.01,28.64,0.0,0.0
138,(주)국순당,43650,2019-12-01,-3.37,66.02,-2.47,-8.1,232.87,81.18,0.42,0.49,5.91,19.02,0.0,0.0
139,(주)국순당,43650,2020-12-01,7.5,-48.14,8.89,35.25,642.45,90.86,0.21,0.25,15.94,75.91,0.0,0.0
140,(주)국영지앤엠,6050,2011-12-01,10.03,1.5,16.17,7.29,216.64,62.76,1.38,2.22,36.85,1534.37,0.0,0.0
141,(주)국영지앤엠,6050,2012-12-01,8.77,2.85,15.29,6.15,175.37,53.25,1.43,2.49,34.16,1902.38,0.0,0.0
142,(주)국영지앤엠,6050,2013-12-01,6.38,27.43,11.67,4.99,191.77,56.05,1.28,2.34,34.09,1951.05,-80.27,0.0
143,(주)국영지앤엠,6050,2014-12-01,5.46,-7.7,9.52,4.41,191.6,58.48,1.24,2.16,32.75,667.25,-58.51,0.0
144,(주)국영지앤엠,6050,2015-12-01,8.51,-22.11,15.29,6.21,179.66,53.23,1.37,2.46,35.96,730.97,0.0,0.0
145,(주)국영지앤엠,6050,2016-12-01,9.15,28.3,16.2,5.39,211.01,59.61,1.7,3.01,46.45,1015.07,0.0,0.0
146,(주)국영지앤엠,6050,2017-12-01,8.81,22.16,14.24,6.1,237.71,64.05,1.44,2.33,37.93,867.48,271.37,0.0
147,(주)국영지앤엠,6050,2018-12-01,5.29,-10.44,8.82,4.01,210.04,56.67,1.32,2.2,31.35,741.02,0.0,0.0
148,(주)국영지앤엠,6050,2019-12-01,7.39,29.68,12.47,6.5,98.2,61.29,1.14,1.92,28.94,894.18,0.0,0.0
149,(주)국영지앤엠,6050,2020-12-01,2.9,-11.82,3.25,4.54,496.76,89.78,0.64,0.72,16.66,42.79,0.0,0.0
150,(주)그래디언트,35080,2011-12-01,-1.87,-4.55,-2.81,-2.87,81.65,42.29,0.65,1.24,7.75,167.68,0.0,0.0
151,(주)그래디언트,35080,2012-12-01,1.68,5.99,3.52,2.81,89.27,53.6,0.6,1.25,18.79,268.23,0.0,0.0
152,(주)그래디언트,35080,2013-12-01,2.03,545.17,1.94,0.81,135.82,47.04,2.51,5.1,11.03,296.26,-39.01,0.0
153,(주)그래디언트,35080,2014-12-01,1.79,6.98,2.0,1.0,130.06,46.88,1.78,3.79,10.88,360.14,9.79,0.0
154,(주)그래디언트,35080,2015-12-01,2.14,12.82,2.87,1.22,125.25,42.9,1.76,3.92,11.41,440.43,52.74,0.0
155,(주)그래디언트,35080,2016-12-01,-1.87,8.73,-14.59,-1.01,123.45,40.53,1.84,4.41,7.31,268.32,0.0,0.0
156,(주)그래디언트,35080,2017-12-01,-3.28,-7.91,-20.37,-1.8,125.96,41.14,1.83,4.48,9.5,291.89,0.0,0.0
157,(주)그래디언트,35080,2018-12-01,-0.23,-2.84,-2.8,-0.12,124.21,39.48,1.9,4.72,12.57,413.48,0.0,0.0
158,(주)그래디언트,35080,2019-12-01,0.36,-0.83,-1.6,0.19,123.13,37.62,1.9,4.93,13.3,206.58,0.0,0.0
159,(주)그래디언트,35080,2020-12-01,-1.53,-7.12,-10.72,-0.81,117.17,38.04,1.87,4.95,10.73,127.94,0.0,0.0
160,(주)그리티,204020,2019-12-01,1.66,3.2,2.43,1.27,477.62,80.5,1.31,1.66,19.31,599.19,-64.91,0.0
161,(주)그리티,204020,2020-12-01,0.93,0.31,1.31,0.68,619.88,82.44,1.38,1.69,19.71,428.22,-46.7,0.0
162,(주)그린플러스,186230,2020-12-01,-2.65,28.35,-5.53,-3.41,145.71,38.19,0.78,1.76,10.15,25.97,0.0,0.0
163,(주)글로벌스탠다드테크놀로지,83450,2011-12-01,7.85,-10.58,12.25,8.49,152.89,52.49,0.93,1.61,31.53,263.93,-51.81,0.0
164,(주)글로벌스탠다드테크놀로지,83450,2012-12-01,13.16,56.16,20.94,10.81,197.65,66.9,1.22,2.04,48.01,149.48,108.99,0.0
165,(주)글로벌스탠다드테크놀로지,83450,2013-12-01,10.18,24.95,14.17,7.32,221.07,68.07,1.39,2.06,41.27,134.06,-16.98,0.0
166,(주)글로벌스탠다드테크놀로지,83450,2014-12-01,11.89,10.05,16.07,8.84,268.19,72.67,1.34,1.91,41.61,158.79,33.84,0.0
167,(주)글로벌스탠다드테크놀로지,83450,2015-12-01,8.17,-5.27,10.26,6.76,338.59,81.32,1.21,1.57,46.86,138.99,-26.99,0.0
168,(주)글로벌스탠다드테크놀로지,83450,2016-12-01,5.84,7.58,7.24,5.11,211.09,67.98,1.14,1.55,39.07,133.57,-23.17,0.0
169,(주)글로벌스탠다드테크놀로지,83450,2017-12-01,16.43,79.3,23.25,9.68,266.78,76.44,1.7,2.34,54.44,170.14,278.16,0.0
170,(주)글로벌스탠다드테크놀로지,83450,2018-12-01,9.93,-20.26,12.42,7.93,320.14,81.7,1.25,1.58,50.76,142.28,-37.1,0.0
171,(주)글로벌스탠다드테크놀로지,83450,2019-12-01,14.86,29.56,19.83,10.68,286.47,75.55,1.39,1.78,52.25,186.83,85.7,0.0
172,(주)글로벌스탠다드테크놀로지,83450,2020-12-01,11.12,-0.8,15.06,9.28,367.25,80.19,1.2,1.54,49.11,188.94,-11.59,0.0
173,(주)금빛,45890,2020-12-01,-15.77,-30.22,-43.72,-43.47,68.34,40.99,0.36,1.01,0.22,0.45,0.0,1.0
174,(주)금화피에스시,36190,2011-12-01,14.31,-15.27,16.42,6.59,676.8,87.17,2.17,2.49,33.18,2186.02,23.28,0.0
175,(주)금화피에스시,36190,2012-12-01,11.24,30.8,12.77,5.25,764.64,88.84,2.14,2.43,29.19,1836.52,21.76,0.0
176,(주)금화피에스시,36190,2013-12-01,15.94,53.5,19.37,13.72,412.81,82.29,1.16,1.41,76.39,702.94,23.26,0.0
177,(주)금화피에스시,36190,2014-12-01,14.22,14.15,17.06,11.28,447.38,84.48,1.26,1.51,81.84,670.79,-6.14,0.0
178,(주)금화피에스시,36190,2015-12-01,13.07,24.44,16.07,9.61,352.06,78.86,1.36,1.67,81.27,633.03,5.86,0.0
179,(주)금화피에스시,36190,2016-12-01,11.84,-0.4,15.09,10.18,356.19,78.46,1.16,1.48,63.44,512.58,5.64,0.0
180,(주)금화피에스시,36190,2017-12-01,9.02,-12.44,11.48,9.79,381.74,79.53,0.92,1.17,48.16,439.51,-15.48,0.0
181,(주)금화피에스시,36190,2018-12-01,16.05,13.39,19.63,16.99,489.72,84.08,0.94,1.15,52.97,544.12,96.33,0.0
182,(주)금화피에스시,36190,2019-12-01,10.17,-10.24,12.04,13.22,474.92,84.99,0.77,0.91,46.68,548.61,-30.25,0.0
183,(주)금화피에스시,36190,2020-12-01,10.4,12.37,12.07,12.72,567.89,87.58,0.82,0.95,50.51,605.73,8.21,0.0
184,(주)기가레인,49080,2014-12-01,6.1,0.98,11.26,8.11,129.12,57.28,0.75,1.39,21.7,44.93,-28.29,0.0
185,(주)기가레인,49080,2015-12-01,-9.43,-35.67,-19.07,-21.71,80.68,43.32,0.43,0.87,6.36,14.21,0.0,0.0
186,(주)기가레인,49080,2016-12-01,-6.73,22.52,-16.29,-13.72,64.8,36.99,0.49,1.22,11.92,26.6,0.0,0.0
