회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결)
(주)구스앤홈,329050,2017/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,
(주)구스앤홈,329050,2018/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,
(주)구스앤홈,329050,2019/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,
(주)구스앤홈,329050,2020/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,
(주)구영테크,53270,2011/12,2002/02/07,,5,  자동차 및 트레일러 제조업,-1.8,0.0,-0.44,-1.4,20.19,38.93,24.51,56.43,1.01,4.04
(주)구영테크,53270,2012/12,2002/02/07,,5,  자동차 및 트레일러 제조업,5.38,0.0,1.05,4.49,21.14,43.07,22.76,57.4,1.0,4.25
(주)구영테크,53270,2013/12,2002/02/07,,5,  자동차 및 트레일러 제조업,10.89,31.89,1.26,5.74,27.18,49.51,26.15,60.26,1.11,4.56
(주)구영테크,53270,2014/12,2002/02/07,,5,  자동차 및 트레일러 제조업,-1.28,-0.13,1.31,4.75,26.25,47.84,33.5,71.98,1.12,3.74
(주)구영테크,53270,2015/12,2002/02/07,,5,  자동차 및 트레일러 제조업,0.91,94.33,2.42,7.74,27.54,51.32,34.96,85.48,1.09,3.17
(주)구영테크,53270,2016/12,2002/02/07,,5,  자동차 및 트레일러 제조업,-13.82,-36.92,1.71,4.64,24.69,46.74,34.65,80.61,0.9,2.6
(주)구영테크,53270,2017/12,2002/02/07,,5,  자동차 및 트레일러 제조업,1.03,-43.82,0.91,2.61,20.27,44.88,29.84,78.36,0.85,2.64
(주)구영테크,53270,2018/12,2002/02/07,,5,  자동차 및 트레일러 제조업,30.3,305.87,3.03,9.65,22.95,38.69,33.98,80.98,1.0,3.13
(주)구영테크,53270,2019/12,2002/02/07,,5,  자동차 및 트레일러 제조업,18.24,-43.49,1.47,4.8,23.26,40.32,34.71,78.53,1.13,3.29
(주)구영테크,53270,2020/12,2002/02/07,,5,  자동차 및 트레일러 제조업,-14.81,-78.31,0.37,1.03,18.95,32.62,32.82,72.48,0.94,2.79
(주)국보디자인,66620,2011/12,2002/09/05,,5,  전문직별 공사업,11.37,9.87,4.63,13.29,46.92,2571.93,60.03,191.36,1.65,2.87
(주)국보디자인,66620,2012/12,2002/09/05,,5,  전문직별 공사업,-8.64,36.75,6.94,15.67,37.13,1542.73,61.98,216.7,1.38,2.26
(주)국보디자인,66620,2013/12,2002/09/05,,5,  전문직별 공사업,36.95,32.05,6.69,17.76,34.61,2018.69,51.29,172.74,1.48,2.66
(주)국보디자인,66620,2014/12,2002/09/05,,5,  전문직별 공사업,7.86,0.06,6.2,15.64,36.51,2193.81,56.32,197.66,1.36,2.52
(주)국보디자인,66620,2015/12,2002/09/05,,5,  전문직별 공사업,9.2,-1.59,5.59,13.66,37.6,832.83,59.05,196.06,1.41,2.44
(주)국보디자인,66620,2016/12,2002/09/05,,5,  전문직별 공사업,4.57,-0.28,5.33,12.62,34.7,738.22,54.86,192.59,1.34,2.37
(주)국보디자인,66620,2017/12,2002/09/05,,5,  전문직별 공사업,34.38,24.24,4.93,14.33,46.62,1017.16,60.4,220.15,1.68,2.91
(주)국보디자인,66620,2018/12,2002/09/05,,5,  전문직별 공사업,-6.06,3.99,5.46,13.35,39.72,974.71,62.04,229.49,1.5,2.45
(주)국보디자인,66620,2019/12,2002/09/05,,5,  전문직별 공사업,5.8,14.92,5.93,13.75,35.7,945.33,55.44,206.55,1.35,2.32
(주)국보디자인,66620,2020/12,2002/09/05,,5,  전문직별 공사업,7.11,26.07,6.98,13.89,31.62,1021.45,61.67,110.11,1.17,1.99
(주)국순당,43650,2011/12,2000/08/24,,5,  음료 제조업,0.0,0.0,4.12,2.99,16.71,40.35,89.44,500.27,0.64,0.72
(주)국순당,43650,2012/12,2000/08/24,,5,  음료 제조업,0.0,0.0,5.21,3.46,14.82,38.39,91.37,631.95,0.57,0.62
(주)국순당,43650,2013/12,2000/08/24,,5,  음료 제조업,-16.45,-15.99,5.79,2.89,15.06,41.24,89.2,733.62,0.46,0.51
(주)국순당,43650,2014/12,2000/08/24,,5,  음료 제조업,-7.37,-39.31,3.77,1.73,13.66,41.26,90.5,698.29,0.42,0.47
